model,accuracy,precision,recall,f1,test_roc_auc,cv_roc_auc_mean,cv_roc_auc_std
Gradient Boosting,0.5838872335548935,0.5667963683527886,0.22778212144904875,0.3249674660717605,0.6063695616840323,0.5995198017180002,0.0013013079649321143
Random Forest,0.5748338299335319,0.515776397515528,0.5410476935105551,0.5281098957008394,0.6036096201452811,0.6042141198647366,0.004014489398704704
Logistic Regression,0.5700206280082512,0.5107079868984631,0.528277299973938,0.5193440942864463,0.5900351365601737,0.5925105665808418,0.002731052681395984
