down,distance_bucket,field_zone,avg_epa,avg_epa,plays,plays,higher_observed_epa,epa_gap
,,,pass,run,pass,run,,
1.0,Long (7-10),Backed Up,0.14791524414693535,-0.08150819230494903,472.0,647.0,pass,0.2294234364518844
1.0,Long (7-10),Own Territory,0.09126012098038319,-0.07443525381239852,3456.0,3494.0,pass,0.1656953747927817
1.0,Long (7-10),Plus Territory,0.052498618215045256,-0.06787776306522754,2076.0,2380.0,pass,0.1203763812802728
1.0,Long (7-10),Red Zone,0.08681734607364298,-0.05381684639076863,555.0,886.0,pass,0.1406341924644116
1.0,Medium (4-6),Red Zone,-0.11983176081741545,-0.0171279341944393,95.0,190.0,run,0.10270382662297615
1.0,Short (1-3),Red Zone,0.06140718304765544,0.09197583178420864,90.0,253.0,run,0.030568648736553197
1.0,Very Long (11+),Backed Up,-0.1751953658284478,-0.02395853120265769,66.0,41.0,run,0.1512368346257901
1.0,Very Long (11+),Own Territory,-0.002603958085472436,-0.2607298270364194,197.0,95.0,pass,0.25812586895094697
1.0,Very Long (11+),Plus Territory,-0.027893435779050596,-0.12843587177787696,137.0,65.0,pass,0.10054243599882637
2.0,Long (7-10),Backed Up,0.07074177289603242,0.0003086787337745648,260.0,124.0,pass,0.07043309416225786
2.0,Long (7-10),Own Territory,0.07072194030850935,-0.02814941173874856,1661.0,814.0,pass,0.09887135204725792
2.0,Long (7-10),Plus Territory,0.047046986044085824,-0.07249161027755976,1063.0,608.0,pass,0.1195385963216456
2.0,Long (7-10),Red Zone,-0.006021122275032757,-0.06250348162001304,424.0,237.0,pass,0.05648235934498028
2.0,Medium (4-6),Backed Up,0.2994942007566962,-0.08137654249196799,75.0,79.0,pass,0.3808707432486642
2.0,Medium (4-6),Own Territory,0.13317189526691361,0.060577289518058214,626.0,573.0,pass,0.0725946057488554
2.0,Medium (4-6),Plus Territory,0.12992847629046977,-0.025474143522666408,417.0,439.0,pass,0.1554026198131362
2.0,Medium (4-6),Red Zone,0.006444213040657552,0.0352513363947681,252.0,249.0,run,0.02880712335411055
2.0,Short (1-3),Own Territory,0.06257779752985627,-0.048056573783295586,267.0,460.0,pass,0.11063437131315186
2.0,Short (1-3),Plus Territory,0.0924174404607833,0.03059514485155306,220.0,372.0,pass,0.06182229560923025
2.0,Short (1-3),Red Zone,-0.15304676222893263,0.05937154225813428,183.0,364.0,run,0.2124183044870669
2.0,Very Long (11+),Backed Up,0.0030224287581001124,-0.014341538696880173,151.0,62.0,pass,0.017363967454980284
2.0,Very Long (11+),Own Territory,-0.007271206863176632,-0.01398374367678585,657.0,172.0,pass,0.006712536813609217
2.0,Very Long (11+),Plus Territory,0.17118191948497027,0.08572228915157305,473.0,133.0,pass,0.08545963033339722
3.0,Long (7-10),Own Territory,-0.15216875379367376,0.34919800769866416,806.0,85.0,run,0.5013667614923379
3.0,Long (7-10),Plus Territory,-0.17193519338161972,0.2614211986261645,534.0,93.0,run,0.4333563920077842
3.0,Long (7-10),Red Zone,0.0812876016954396,-0.03154975652912522,248.0,33.0,pass,0.11283735822456481
3.0,Medium (4-6),Own Territory,-0.04535062142613796,0.5091786030273288,671.0,73.0,run,0.5545292244534668
3.0,Medium (4-6),Plus Territory,0.1147339740166383,-0.06501285163054082,487.0,113.0,pass,0.17974682564717914
3.0,Medium (4-6),Red Zone,0.078923299398814,0.4564346321001122,286.0,54.0,run,0.3775113327012982
3.0,Short (1-3),Backed Up,0.1561258108438617,0.03376811786831573,46.0,37.0,pass,0.12235769297554597
3.0,Short (1-3),Own Territory,-0.06362019369422527,0.02354891991883066,434.0,400.0,run,0.08716911361305593
3.0,Short (1-3),Plus Territory,-0.28758394137318743,0.13095361502056227,276.0,390.0,run,0.4185375563937497
3.0,Short (1-3),Red Zone,-0.2636703089592041,0.1137231127963192,233.0,257.0,run,0.3773934217555233
3.0,Very Long (11+),Backed Up,-0.08694661891096525,-0.00022678373926819577,135.0,38.0,run,0.08671983517169705
3.0,Very Long (11+),Own Territory,-0.23355965837559,-0.22195989321915666,529.0,101.0,run,0.01159976515643335
3.0,Very Long (11+),Plus Territory,-0.07481806217053832,0.22826791324124973,363.0,75.0,run,0.30308597541178806
4.0,Short (1-3),Own Territory,-0.5530119037013373,0.6134784481360532,37.0,83.0,run,1.1664903518373906
4.0,Short (1-3),Plus Territory,0.6560866859343979,0.7322225887041479,129.0,141.0,run,0.07613590276975002
4.0,Short (1-3),Red Zone,0.33337797552147685,0.4681973213171022,77.0,74.0,run,0.13481934579562532
