field_zone,plays,success_rate,avg_epa,avg_yards
Backed Up,2558,0.41790461297888976,0.023950683287932983,6.340109460516028
Own Territory,15829,0.43534019837008026,0.0003724887790258052,6.116937267041506
Plus Territory,11135,0.45585990121239334,0.020187691667068693,5.71001347103727
Red Zone,5380,0.4295539033457249,0.016714464023863458,3.0574349442379183
