posteam,plays,success_rate,avg_epa,avg_yards,explosive_rate
ARI,1026,0.4727095516569201,0.06617482992511538,5.946393762183236,0.11306042884990253
ATL,1069,0.480823199251637,0.03412569601629679,5.902712815715622,0.1028999064546305
BAL,1162,0.5034423407917383,0.22231870602969456,6.966437177280551,0.14371772805507746
BUF,1198,0.4791318864774624,0.1899559547292196,6.049248747913189,0.10934891485809682
CAR,984,0.4136178861788618,-0.05248556237941355,5.158536585365853,0.08434959349593496
CHI,1049,0.3994280266920877,-0.07938004084130734,4.607244995233556,0.07816968541468065
CIN,1066,0.4727954971857411,0.09122085957329808,5.841463414634147,0.08348968105065666
CLE,1113,0.3683737646001797,-0.18681494671284743,4.599281221922731,0.06558849955076371
DAL,1092,0.4065934065934066,-0.10895570885480309,5.108058608058608,0.0815018315018315
DEN,1079,0.4272474513438369,0.015483537230180384,5.341056533827619,0.10287303058387395
DET,1162,0.5051635111876076,0.1647164614113581,6.4561101549053355,0.12220309810671257
GB,1075,0.4493023255813953,0.07067042145264467,6.155348837209302,0.12465116279069767
HOU,1175,0.3948936170212766,-0.0480473125586212,5.258723404255319,0.09361702127659574
IND,1029,0.4033041788143829,-0.054446455252112155,5.543245869776482,0.11175898931000972
JAX,984,0.4136178861788618,-0.02167891870936229,5.298780487804878,0.10467479674796748
KC,1223,0.473426001635323,0.06253700766556801,5.290269828291088,0.07686017988552739
LA,1143,0.4663167104111986,0.013479885092241893,5.552055993000875,0.08836395450568679
LAC,1047,0.4145176695319962,0.009774516960401044,5.5463228271251195,0.0964660936007641
LV,1049,0.4051477597712107,-0.14266432454620906,4.929456625357483,0.08007626310772165
MIA,1071,0.44351073762838467,-0.038424799940396125,5.170868347338936,0.08216619981325864
MIN,1098,0.45264116575591984,-0.008193090926504292,5.638433515482696,0.10837887067395265
NE,1017,0.42281219272369713,-0.0857191050257055,4.884955752212389,0.09046214355948869
NO,1022,0.4070450097847358,-0.05534829455890629,5.333659491193738,0.09295499021526418
NYG,1044,0.407088122605364,-0.10338745090718711,4.815134099616858,0.07662835249042145
NYJ,1005,0.4248756218905473,-0.014660864779702245,5.25273631840796,0.09651741293532339
PHI,1334,0.4490254872563718,0.1198794169375477,5.786356821589205,0.11544227886056972
PIT,1108,0.4043321299638989,-0.026414434571011742,5.1669675090252705,0.11281588447653429
SEA,1015,0.4403940886699507,-0.02713162600506479,5.577339901477832,0.09655172413793103
SF,1012,0.4614624505928854,0.07075210010021991,6.32905138339921,0.12154150197628459
TB,1125,0.496,0.13028367599391316,6.301333333333333,0.12355555555555556
TEN,1026,0.39766081871345027,-0.11870965360072509,5.043859649122807,0.0935672514619883
WAS,1300,0.47692307692307695,0.13116715893930658,5.758461538461538,0.10307692307692308
