distance_bucket,plays,success_rate,avg_epa,avg_yards
Long (7-10),21174,0.41418721073014075,-0.002309173309069904,5.810522338717295
Medium (4-6),4997,0.47248349009405644,0.06811015010580632,5.3209925955573345
Short (1-3),4889,0.5731233381059522,0.053836924943555645,4.009613417876866
Very Long (11+),3842,0.3680374804789172,-0.04497266386949096,6.207444039562728
